# Python MESMA for LE07_LT05_20111026_20111027_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4306290 38.9033347 438330 -123.7112219 0.30850
4306290 38.9033368 438360 -123.7108759 0.33704
4306290 38.9033389 438390 -123.7105300 0.38550
4306290 38.9033410 438420 -123.7101840 0.34989
4306290 38.9033431 438450 -123.7098381 0.30278
4306290 38.9033452 438480 -123.7094921 0.28001
4306260 38.9030643 438330 -123.7112192 0.32403
4306260 38.9030665 438360 -123.7108732 0.32403
4306260 38.9030686 438390 -123.7105273 0.36336
4306260 38.9030707 438420 -123.7101813 0.44064
4306260 38.9030728 438450 -123.7098354 0.40589
4306260 38.9030749 438480 -123.7094894 0.38919
4306230 38.9027940 438330 -123.7112165 0.21128
4306230 38.9028003 438420 -123.7101786 0.36970
4306230 38.9028024 438450 -123.7098327 0.28037
4306230 38.9028045 438480 -123.7094867 0.38770
4306230 38.9028066 438510 -123.7091408 0.38433
4306200 38.9025279 438390 -123.7105219 0.25135
4306200 38.9025342 438480 -123.7094840 0.32528
4306200 38.9025363 438510 -123.7091381 0.32528
4306200 38.9025384 438540 -123.7087921 0.27703
4306170 38.9022597 438420 -123.7101733 0.36601
4306170 38.9022639 438480 -123.7094814 0.26747
4306170 38.9022660 438510 -123.7091354 0.32668
4306170 38.9022681 438540 -123.7087895 0.27960
4306140 38.9019936 438480 -123.7094787 0.26679
4306140 38.9019957 438510 -123.7091327 0.30861
4306140 38.9019978 438540 -123.7087868 0.27960
4306140 38.9019999 438570 -123.7084408 0.34933
4306140 38.9020020 438600 -123.7080949 0.34966
4306110 38.9017274 438540 -123.7087841 0.38994
4306110 38.9017295 438570 -123.7084381 0.33097
4306110 38.9017316 438600 -123.7080922 0.50905
4306110 38.9017337 438630 -123.7077462 0.37073
4306080 38.9014592 438570 -123.7084354 0.30569
4306080 38.9014613 438600 -123.7080895 0.36789
4306080 38.9014634 438630 -123.7077435 0.31392
4306050 38.9011868 438540 -123.7087787 0.34992
4306050 38.9011910 438600 -123.7080868 0.36789
4306050 38.9011931 438630 -123.7077409 0.30546
4306050 38.9011952 438660 -123.7073949 0.30950
4306020 38.9009165 438540 -123.7087760 0.39216
4306020 38.9009186 438570 -123.7084301 0.37118
4306020 38.9009207 438600 -123.7080841 0.36789
4306020 38.9009228 438630 -123.7077382 0.30044
4305990 38.9006462 438540 -123.7087733 0.36528
4305720 38.8982279 438750 -123.7063276 0.25343
4305570 38.8968721 438690 -123.7070061 0.25282
4305480 38.8960758 438900 -123.7045766 0.30897
4305480 38.8960778 438930 -123.7042307 0.20983
4305480 38.8960862 439050 -123.7028470 0.24315
4305450 38.8958054 438900 -123.7045739 0.39017
4305450 38.8958075 438930 -123.7042280 0.35113
4305450 38.8958096 438960 -123.7038821 0.23861
4305450 38.8958159 439050 -123.7028443 0.25436
4305420 38.8955351 438900 -123.7045712 0.25024
4305420 38.8955372 438930 -123.7042253 0.66542
4305420 38.8955393 438960 -123.7038794 0.27010
4305420 38.8955455 439050 -123.7028417 0.25470
4305420 38.8955476 439080 -123.7024957 0.25057
4305420 38.8955518 439140 -123.7018039 0.24399
4305420 38.8955538 439170 -123.7014580 0.25436
4305390 38.8952814 439140 -123.7018012 0.25436
4305390 38.8952835 439170 -123.7014553 0.24399
4305360 38.8949986 438960 -123.7038741 0.36675
4305360 38.8950007 438990 -123.7035282 0.32035
4305360 38.8950090 439110 -123.7021445 0.25534
4305360 38.8950111 439140 -123.7017986 0.25080
4305330 38.8947304 438990 -123.7035255 0.25383
4305330 38.8947408 439140 -123.7017959 0.25382
4305090 38.8925823 439200 -123.7010828 0.30430
4305090 38.8925844 439230 -123.7007369 0.30956
4305090 38.8925906 439320 -123.6996992 0.31886
4305090 38.8926072 439560 -123.6969320 0.25346
4305090 38.8926134 439650 -123.6958942 0.25380
4305060 38.8923120 439200 -123.7010802 0.39134
4305060 38.8923141 439230 -123.7007343 0.47766
4305060 38.8923162 439260 -123.7003884 0.31495
4305060 38.8923182 439290 -123.7000425 0.31814
