# Python MESMA for LT05_LE07_20061020_20061021 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4300500 38.8514227 442170 -123.6664517 0.34444
4300470 38.8511484 442110 -123.6671406 0.34217
4300470 38.8511504 442140 -123.6667949 0.36599
4300470 38.8511524 442170 -123.6664492 0.37250
4300470 38.8511544 442200 -123.6661035 0.26038
4300440 38.8508801 442140 -123.6667924 0.37895
4300440 38.8508821 442170 -123.6664467 0.49926
4300440 38.8508840 442200 -123.6661010 0.37023
4300440 38.8508860 442230 -123.6657552 0.33057
4300440 38.8508880 442260 -123.6654095 0.32456
4300410 38.8506117 442170 -123.6664441 0.40616
4300410 38.8506137 442200 -123.6660984 0.37508
4300410 38.8506157 442230 -123.6657527 0.34812
4300410 38.8506176 442260 -123.6654070 0.37274
4300410 38.8506196 442290 -123.6650613 0.24342
4300380 38.8503434 442200 -123.6660959 0.38490
4300380 38.8503453 442230 -123.6657502 0.34021
4300380 38.8503473 442260 -123.6654045 0.35327
4300380 38.8503493 442290 -123.6650588 0.22059
4300380 38.8503532 442350 -123.6643674 0.35050
4300380 38.8503552 442380 -123.6640217 0.22274
4300350 38.8500809 442320 -123.6647106 0.29028
4300350 38.8500829 442350 -123.6643649 0.24342
4300350 38.8500848 442380 -123.6640192 0.26786
4300350 38.8500868 442410 -123.6636735 0.26647
4300350 38.8500888 442440 -123.6633278 0.38130
4300350 38.8500907 442470 -123.6629821 0.47694
4300320 38.8498086 442290 -123.6650538 0.28854
4300320 38.8498106 442320 -123.6647081 0.23113
4300320 38.8498126 442350 -123.6643624 0.22512
4300320 38.8498165 442410 -123.6636710 0.25181
4300320 38.8498184 442440 -123.6633253 0.41112
4300320 38.8498204 442470 -123.6629796 0.57439
4300320 38.8498224 442500 -123.6626339 0.52375
4300320 38.8498243 442530 -123.6622882 0.36456
4300290 38.8495383 442290 -123.6650513 0.23315
4300290 38.8495403 442320 -123.6647056 0.36569
4300290 38.8495422 442350 -123.6643599 0.34672
4300290 38.8495481 442440 -123.6633228 0.41112
4300290 38.8495501 442470 -123.6629771 0.57234
4300290 38.8495520 442500 -123.6626314 0.52768
4300290 38.8495540 442530 -123.6622857 0.49538
4300260 38.8492699 442320 -123.6647030 0.28427
4300260 38.8492719 442350 -123.6643573 0.20340
4300260 38.8492778 442440 -123.6633202 0.27198
4300260 38.8492797 442470 -123.6629745 0.49675
4300260 38.8492817 442500 -123.6626288 0.49417
4300260 38.8492837 442530 -123.6622832 0.41826
4300260 38.8492915 442650 -123.6609004 0.32296
4300260 38.8492993 442770 -123.6595176 0.34806
4300260 38.8493013 442800 -123.6591719 0.45020
