# Python MESMA for LE07_LT05_19990831_19991102 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4360560 39.3916083 428940 -123.8251949 0.42260
4360560 39.3916108 428970 -123.8248465 0.35806
4360560 39.3916157 429030 -123.8241498 0.32667
4360530 39.3913454 429030 -123.8241467 0.31846
4360530 39.3913627 429240 -123.8217083 0.35055
4360500 39.3910628 428880 -123.8258852 0.37682
4360500 39.3910653 428910 -123.8255369 0.34653
4360110 39.3875440 428820 -123.8265404 0.37451
4360080 39.3872737 428820 -123.8265372 0.36685
4360080 39.3872762 428850 -123.8261889 0.34895
4360050 39.3870010 428790 -123.8268824 0.29998
4360050 39.3870034 428820 -123.8265341 0.34940
4360050 39.3870059 428850 -123.8261857 0.31380
4360050 39.3870084 428880 -123.8258374 0.34095
4360050 39.3870108 428910 -123.8254891 0.32316
4360020 39.3867356 428850 -123.8261825 0.31965
4360020 39.3867381 428880 -123.8258342 0.37863
4360020 39.3867406 428910 -123.8254859 0.36393
4359990 39.3864653 428850 -123.8261794 0.37203
4359990 39.3864678 428880 -123.8258310 0.31696
4359990 39.3864703 428910 -123.8254827 0.31709
4359960 39.3861950 428850 -123.8261762 0.34433
4359960 39.3861975 428880 -123.8258278 0.31380
4359960 39.3862000 428910 -123.8254795 0.29459
4359930 39.3859222 428820 -123.8265213 0.31685
4359870 39.3853841 428850 -123.8261666 0.31302
4359840 39.3851064 428760 -123.8272084 0.35045
4359840 39.3851089 428790 -123.8268600 0.32281
4359840 39.3851138 428850 -123.8261634 0.34284
4359840 39.3851163 428880 -123.8258151 0.40136
4359810 39.3848435 428850 -123.8261602 0.37218
4359810 39.3848460 428880 -123.8258119 0.37085
4359780 39.3845732 428850 -123.8261570 0.35196
4359780 39.3845757 428880 -123.8258087 0.31414
4359750 39.3843054 428880 -123.8258055 0.28939
4359750 39.3843079 428910 -123.8254572 0.35887
4359720 39.3840302 428820 -123.8264990 0.35101
4359720 39.3840376 428910 -123.8254541 0.40141
4359720 39.3840401 428940 -123.8251057 0.31283
4359690 39.3837574 428790 -123.8268441 0.34820
4359690 39.3837599 428820 -123.8264958 0.31963
4359690 39.3837673 428910 -123.8254509 0.37450
4359690 39.3837698 428940 -123.8251026 0.27146
4359660 39.3834945 428880 -123.8257960 0.37840
4359660 39.3834970 428910 -123.8254477 0.35535
4359600 39.3829465 428790 -123.8268345 0.32573
4359570 39.3826837 428880 -123.8257864 0.32665
4359570 39.3826861 428910 -123.8254381 0.34770
4359570 39.3826886 428940 -123.8250898 0.30044
4359540 39.3824183 428940 -123.8250867 0.26640
4359510 39.3821307 428730 -123.8275216 0.31697
4359480 39.3818604 428730 -123.8275184 0.34120
4359450 39.3815901 428730 -123.8275152 0.35179
4359420 39.3813223 428760 -123.8271637 0.29123
4359420 39.3813248 428790 -123.8268154 0.32590
4359390 39.3810545 428790 -123.8268122 0.32632
4359390 39.3810619 428880 -123.8257673 0.35489
4359390 39.3810644 428910 -123.8254190 0.31832
4359390 39.3810668 428940 -123.8250707 0.29562
4359360 39.3807891 428850 -123.8261124 0.32078
4359360 39.3807941 428910 -123.8254158 0.29400
4359360 39.3807990 428970 -123.8247193 0.29562
4359330 39.3805213 428880 -123.8257610 0.32403
4359300 39.3802485 428850 -123.8261061 0.35913
4358910 39.3767298 428790 -123.8267612 0.35564
4358910 39.3767322 428820 -123.8264129 0.31801
4358880 39.3764619 428820 -123.8264097 0.31712
4358880 39.3764644 428850 -123.8260615 0.32932
4358760 39.3753832 428850 -123.8260487 0.31957
4358730 39.3751080 428790 -123.8267421 0.34732
4358730 39.3751105 428820 -123.8263938 0.31744
4358730 39.3751129 428850 -123.8260455 0.37560
4358730 39.3751154 428880 -123.8256973 0.29540
4358700 39.3748377 428790 -123.8267389 0.32104
4358700 39.3748402 428820 -123.8263906 0.31609
4358700 39.3748426 428850 -123.8260423 0.35867
4358700 39.3748451 428880 -123.8256941 0.34417
4358670 39.3745674 428790 -123.8267357 0.32602
4358670 39.3745699 428820 -123.8263874 0.34576
4358670 39.3745723 428850 -123.8260392 0.33116
4358670 39.3745970 429150 -123.8225565 0.23148
4358640 39.3742971 428790 -123.8267325 0.34993
4358640 39.3742996 428820 -123.8263842 0.36999
4358610 39.3740540 429120 -123.8228985 0.31565
4358580 39.3737787 429060 -123.8235918 0.37940
4358580 39.3737812 429090 -123.8232435 0.40314
4358580 39.3737837 429120 -123.8228953 0.46790
4358580 39.3737861 429150 -123.8225470 0.50452
4358550 39.3735035 429000 -123.8242851 0.29360
4358550 39.3735060 429030 -123.8239369 0.42132
4358550 39.3735084 429060 -123.8235886 0.50493
4358550 39.3735109 429090 -123.8232404 0.50904
4358550 39.3735134 429120 -123.8228921 0.48710
4358550 39.3735158 429150 -123.8225439 0.44730
4358550 39.3735183 429180 -123.8221956 0.36696
4358520 39.3732381 429060 -123.8235854 0.34588
4358520 39.3732406 429090 -123.8232372 0.35549
4358520 39.3732431 429120 -123.8228889 0.37563
4358520 39.3732455 429150 -123.8225407 0.34822
4358520 39.3732480 429180 -123.8221924 0.36749
4358340 39.3715892 428730 -123.8273971 0.32035
4358310 39.3713189 428730 -123.8273939 0.37551
4358310 39.3713214 428760 -123.8270457 0.35743
4358280 39.3710486 428730 -123.8273907 0.42718
4358280 39.3710511 428760 -123.8270425 0.40897
4358280 39.3710684 428970 -123.8246048 0.32042
4358250 39.3707758 428700 -123.8277358 0.35127
4358250 39.3707783 428730 -123.8273875 0.47414
4358250 39.3707808 428760 -123.8270393 0.34523
4358220 39.3705080 428730 -123.8273843 0.38673
4358190 39.3702402 428760 -123.8270329 0.32726
4358160 39.3699674 428730 -123.8273780 0.34752
4358160 39.3699699 428760 -123.8270297 0.34258
4358130 39.3696872 428610 -123.8287677 0.39828
4358130 39.3696897 428640 -123.8284195 0.34958
4358130 39.3696996 428760 -123.8270265 0.31718
4358130 39.3697021 428790 -123.8266783 0.31402
4358100 39.3694169 428610 -123.8287645 0.46728
4358100 39.3694194 428640 -123.8284163 0.37219
